"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapeo de Modelo Lógico a Informe","Mapping: Mapeo de Modelo Informe a Muestra","Mapping: Mapeo de Modelo Informe a Estadificación TNM","Mapping: Mapeo de Profesional en el Informe","Mapping: Mapeo de Profesional en la solicitud Informe","Mapping: Mapeo de Profesional Intervencionista en la solicitud Informe","Mapping: Mapeo de Solicitud a Perfil Solicitud","Mapping: Mapeo del Rut del Profesional en el Informe","Mapping: Mapeo del Rut del Profesional Solicitante en el Informe","Mapping: Mapeo del Rut del Profesional Interevencionista en el Informe"
"ModeloLogicoInformePatologicoR2BO.solicitud.medicoSolicitante","ModeloLogicoInformePatologicoR2BO.solicitud.medicoSolicitante","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Nombre del médico que genera la solicitud de biopsia.","Nombre del médico que genera la solicitud de biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.medicoSolicitante",1,1,"","","PractitionerRole.practitioner","ServiceRequest.requester"
"ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoSolicitante","ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoSolicitante","","","",1,1,"","","Y","string {[]} {[]}
","corresponde al número identificador único del profesional médico solicitante.","corresponde al número identificador único del profesional médico solicitante.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoSolicitante",1,1,"","","Practitioner.identifier[run]"
"ModeloLogicoInformePatologicoR2BO.solicitud.servicioClinicoDeOrigen","ModeloLogicoInformePatologicoR2BO.solicitud.servicioClinicoDeOrigen","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Servicio clinico en el cual se encuentra el paciente, o al cual se le debe informar del resultado de esta biopsia.","Servicio clinico en el cual se encuentra el paciente, o al cual se le debe informar del resultado de esta biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.servicioClinicoDeOrigen",1,1,"","","PractitionerRole.location","ServiceRequest.requester"
"ModeloLogicoInformePatologicoR2BO.solicitud.establecimientoDeOrigen","ModeloLogicoInformePatologicoR2BO.solicitud.establecimientoDeOrigen","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Corresponde al establecimiento de origen de la toma de la muestra.","Corresponde al establecimiento de origen de la toma de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.establecimientoDeOrigen",1,1,"","","PractitionerRole.organization","ServiceRequest.requester"
"ModeloLogicoInformePatologicoR2BO.solicitud.medicoIntervencionista","ModeloLogicoInformePatologicoR2BO.solicitud.medicoIntervencionista","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Nombre del médico que toma la muestra para la biopsia.","Nombre del médico que toma la muestra para la biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.medicoIntervencionista",1,1,"","","Specimen.collection[0].collector","PractitionerRole.practitioner"
"ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoIntervencionista","ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoIntervencionista","","","",1,1,"","","Y","string {[]} {[]}
","Corresponde al número identificador único del profesional médico intervencionista.","Corresponde al número identificador único del profesional médico intervencionista.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoIntervencionista",1,1,"","","Practitioner.identifier[run]"
"ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeTomaDeMuestra","ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeTomaDeMuestra","","","",1,1,"","","Y","dateTime {[]} {[]}
","Corresponde al día en que se extrajo el tejido o las células del paciente para ser analizadas en el laboratorio.","Corresponde al día en que se extrajo el tejido o las células del paciente para ser analizadas en el laboratorio.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeTomaDeMuestra",1,1,"","","Specimen.collection[0].collectedDateTime"
"ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeRecepcionDeMuestra","ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeRecepcionDeMuestra","","","",1,1,"","","Y","dateTime {[]} {[]}
","Corresponde a la fecha de recepción de la muestra en el lugar de análisis.","Corresponde a la fecha de recepción de la muestra en el lugar de análisis.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeRecepcionDeMuestra",1,1,"","","Specimen.receivedTime"
"ModeloLogicoInformePatologicoR2BO.solicitud.tipoDeBiopsia","ModeloLogicoInformePatologicoR2BO.solicitud.tipoDeBiopsia","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se define como la categorización del procedimiento empleado para la obtención del tejido, con base en su técnica, extensión y objetivo clínico","se define como la categorización del procedimiento empleado para la obtención del tejido, con base en su técnica, extensión y objetivo clínico","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.tipoDeBiopsia",1,1,"","","Specimen.collection[0].method"
"ModeloLogicoInformePatologicoR2BO.solicitud.AntecedentesClinicosRelevantes","ModeloLogicoInformePatologicoR2BO.solicitud.AntecedentesClinicosRelevantes","","","",0,*,"","","Y","string {[]} {[]}
","corresponde a la información clínica relevante del paciente que se debe considerar para el análisis de la muestra, como antecedentes médicos, síntomas actuales, tratamientos previos o cualquier otro dato que pueda influir en la interpretación de los resultados.","corresponde a la información clínica relevante del paciente que se debe considerar para el análisis de la muestra, como antecedentes médicos, síntomas actuales, tratamientos previos o cualquier otro dato que pueda influir en la interpretación de los resultados.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.AntecedentesClinicosRelevantes",0,*,"",""
