URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-Estadificacion-patologico-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.22",EstadificacionPatologicoVS,Set de Valores para la Estadificación,"Set de valores utilizados para la estadificación",,
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-categoria-reporte-biopsia-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.1",CategoriaReporteBiopsiaVS,Set de Valores de la Categoría Reportes de Biopsia,"Códigos de tipos de categoría de reportes de biopsias en HL7",,"THO (V2)"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-categorias-pTNM-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.2",CategoriaspTNMVS,Set de Valores para Categorias pTNM,"Set de valores para las categorias para el TNM patológico",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-especialistas-autorizado-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.3",EspecialistasAutorizadosR2BO,Especialistas Autorizados,"Estos son los especialistas autorizados para realizar informes anatomías patológicas",,"hl7.fhir.cl.minsal.nid"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-estructuras-anatomicas-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.4",EstructuraAnatomicaVS,Set de Valores Para los Sitios del Cuerpo,"Set de valores para las distintas estructuras corporales de donde se obtienen las muestras",,"SCT"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-grado-diferenciacion-vs,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.5",GradoDiferenciacionVS,Set de Valores Para Grado de Diferenciación,"Grado de diferenciación tumoral según clasificación de la OMS",,"Internal"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-hallazgos-clinicos-cie10-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.6",HallazgosClinicosCIE10VS,ValueSet Para Hallazgos Clínicos,"Este ValueSet contiene los códigos que representan las neoplasias de la CIE 10",,"hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-hallazgos-clinicos-cie11-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.7",HallazgosClinicosCIE11VS,ValueSet Para Hallazgos Clínicos de la CIE 11 para neoplasias,"Este ValueSet contiene los códigos de la CIE 11 para hallazgos clínicos de neoplasias, que son utilizados en la definición de perfiles de recursos FHIR para la interoperabilidad en salud.",,"hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-morfologicos-cie11-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.8",MorfologicoCIE11VS,Set de Valores CIE-11 Códigos de Extensión Histopatológicos,"Set de valores utilizados para CIE-11 Códigos de Extensión Histopatológicos par ser usado en la morfología de neoplasias",,"hl7.terminology.r4"
https://interoperabilidad.minsal.cl/fhir/ig/r2bo/ValueSet/r2bo-morfologicosct-cieo-VS,0.3.1-draft,draft,"2.16.840.1.113883.2.22.40.8.48.9",MorfologicoCIEOVS,Set de Valores Morfología,"Set de valores utilizados para morfologías en CIE-O 3.2 Morfológico",,"THO"
